gene,cytoband,CNA,num,freq
ITGBL1,13q33.1,AMP,816,2.5%
DKK4,8p11.21,AMP,816,9.7%
OR1C1,1q44,AMP,816,14.1%
DBF4B,17q21.31,HOMDEL,816,0.6%
TRPT1,11q13.1,HOMDEL,816,0.1%
OASL,12q24.31,HOMDEL,816,0.1%
KIF26B,1q44,AMP,816,14.3%
TM9SF2,13q32.3,AMP,816,2.8%
FRRS1,1p21.2,HOMDEL,816,0.1%
RNA5SP41,1p36.21,HOMDEL,816,0.5%
CHKB,22q13.33,HOMDEL,816,0.9%
AKT3,1q43-q44,AMP,816,14.1%
ZCCHC3,20p13,HOMDEL,816,0.9%
PTDSS2,11p15.5,HOMDEL,816,0.9%
RNGTT,6q15,HOMDEL,816,0.4%
RNF224,9q34.3,HOMDEL,816,0.4%
ARGLU1,13q33.3,AMP,816,2.1%
ESRRB,14q24.3,HOMDEL,816,0.1%
FAM157C,16q24.3,HOMDEL,816,2.2%
CARD9,9q34.3,HOMDEL,816,0.5%
MIGA2,9q34.11,HOMDEL,816,0.2%
NPRL2,3p21.31,HOMDEL,816,0.7%
AK8,9q34.13,HOMDEL,816,0.1%
CIMAP3,1p13.2,HOMDEL,816,0.2%
FLVCR2,14q24.3,HOMDEL,816,0.4%
PLXNB2,22q13.33,HOMDEL,816,0.9%
ERCC5,13q33.1,AMP,816,2.1%
EXD3,9q34.3,HOMDEL,816,0.4%
ANAPC5,12q24.31,HOMDEL,816,0.1%
TMEM175,4p16.3,HOMDEL,816,0.9%
SLC25A4,4q35.1,HOMDEL,816,1.7%
BRD1,22q13.33,HOMDEL,816,0.9%
PNMT,17q12,AMP,816,12.6%
CDT1,16q24.3,HOMDEL,816,2.0%
ZNF276,16q24.3,HOMDEL,816,2.2%
SRSF5,14q24,HOMDEL,816,0.2%
TMEM160,19q13.32,HOMDEL,816,0.1%
RDX,11q22.3,HOMDEL,816,1.5%
APEH,3p21.31,HOMDEL,816,0.5%
POLB,8p11.21,AMP,816,9.7%
ANKRD20A11P,21q11.2,HOMDEL,816,2.2%
GOLGA6L7,15q13.1,HOMDEL,816,2.3%
MDN1,6q15,HOMDEL,816,0.5%
MPHOSPH9,12q24.31,HOMDEL,816,0.1%
RRAGD,6q15,HOMDEL,816,0.5%
GNAI2,3p21.31,HOMDEL,816,0.7%
CHIAP2,1p13.2,HOMDEL,816,0.2%
SNAPC4,9q34.3,HOMDEL,816,0.5%
ENPP6,4q35.1,HOMDEL,816,1.7%
PLA2G2E,1p36.13,HOMDEL,816,0.5%
GPSM1,9q34.3,HOMDEL,816,0.5%
ZNF141,4p16.3,HOMDEL,816,0.9%
PSEN1,14q24.2,HOMDEL,816,0.4%
GJC1,17q21.31,HOMDEL,816,0.6%
ABCA11P,4p16.3,HOMDEL,816,0.9%
EHD1,11q13.1,HOMDEL,816,0.2%
PROK1,1p13.3,HOMDEL,816,0.4%
RBM15,1p13.3,HOMDEL,816,0.4%
GPR137,11q13.1,HOMDEL,816,0.1%
HERC2,15q13.1,HOMDEL,816,2.3%
LAMTOR5,1p13.3,HOMDEL,816,0.4%
CNTNAP3B,9p11.2,HOMDEL,816,1.0%
UBAC1,9q34.3,HOMDEL,816,0.5%
AFG3L1P,16q24.3,HOMDEL,816,2.2%
SRSF12,6q15,HOMDEL,816,0.5%
FRS2,12q15,AMP,816,4.2%
WNT7B,22q13.31,HOMDEL,816,0.5%
PRR34,22q13.31,HOMDEL,816,0.6%
EIF2B1,12q24.31,HOMDEL,816,0.2%
SLC6A18,5p15.33,AMP,816,2.7%
NGB,14q24.3,HOMDEL,816,0.1%
RASA3,13q34,AMP,816,2.8%
OR11L1,1q44,AMP,816,14.1%
GRIN1,9q34.3,HOMDEL,816,0.4%
